kernel,avg_sm_throughput_pct,avg_dram_throughput_pct,num_samples,grid,block,bottleneck
"conv2d_kernel(const float *, float *, int, int)",64.7,12.1,10,"(120, 68, 1)","(16, 16, 1)",compute-bound
"double_threshold_kernel(float *, unsigned char *, int, int, float, float)",42.5,60.3,10,"(120, 68, 1)","(16, 16, 1)",balanced
"gaussian_blur_kernel(unsigned char *, float *, int, int)",46.6,9.8,10,"(120, 68, 1)","(16, 16, 1)",compute-bound
"gaussian_blur_uchar_kernel(unsigned char *, float *, int, int)",46.6,9.8,10,"(120, 68, 1)","(16, 16, 1)",compute-bound
"gradient_magnitude_kernel(float *, float *, float *, float *, int, int)",43.6,76.5,10,"(120, 68, 1)","(16, 16, 1)",memory-bound
"harris_response_kernel(unsigned char *, float *, int, int, int, int, float)",48.1,3.9,10,"(120, 68, 1)","(16, 16, 1)",compute-bound
"harris_threshold_kernel(float *, unsigned char *, int, int, float)",38.6,32.4,10,"(120, 68, 1)","(16, 16, 1)",balanced
"histogram_kernel(const unsigned char *, unsigned int *, int, int)",3.4,1.1,10,"(1024, 1, 1)","(256, 1, 1)",compute-bound
"matmul_kernel(const float *, const float *, float *, int)",83.6,4.1,15,"(64, 64, 1)","(16, 16, 1)",compute-bound
"non_maximum_suppression_kernel(float *, float *, float *, int, int)",86.5,27.3,10,"(120, 68, 1)","(16, 16, 1)",compute-bound
"sobel_kernel(float *, float *, float *, int, int)",43.5,55.1,10,"(120, 68, 1)","(16, 16, 1)",balanced
"synthetic_bandwidth_kernel(const float *, float *, int)",18.7,74.6,5,"(2048, 1, 1)","(256, 1, 1)",memory-bound
"synthetic_compute_kernel(const float *, float *, int, int)",96.6,11.9,15,"(8100, 1, 1)","(256, 1, 1)",compute-bound
